iata,name,city,state,country,latitude,longitude
Z08080,"3rd Party-Sewell-NJ",Sewell,NJ,USA,39.7495,-75.1064
Z08085,"3rd Party-Swedesboro-NJ",Swedesboro,NJ,USA,39.7531,-75.3269
Z08109,"3rd Party-Merchantville-NJ",Merchantville,NJ,USA,39.95,-75.0502
Z08110,"3rd Party-Pennsauken-NJ",Pennsauken,NJ,USA,39.9668,-75.0568
Z08212,"3rd Party-Cape May Point-NJ","Cape May Point",NJ,USA,38.9369,-74.9653
Z08234,"3rd Party-Egg Harbor Township-NJ","Egg Harbor Township",NJ,USA,39.3982,-74.5967
Z08302,"3rd Party-Bridgeton-NJ",Bridgeton,NJ,USA,39.4452,-75.2421
Z08320,"3rd Party-Fairton-NJ",Fairton,NJ,USA,39.3799,-75.2217
Z08328,"3rd Party-Malaga-NJ",Malaga,NJ,USA,39.5724,-75.0543
Z08344,"3rd Party-Newfield-NJ",Newfield,NJ,USA,39.5628,-75.0096
Z08360,"3rd Party-Vineland-NJ",Vineland,NJ,USA,39.4923,-75.0189
Z08505,"3rd Party-Bordentown-NJ",Bordentown,NJ,USA,40.1328,-74.7178
Z08512,"3rd Party-Cranbury-NJ",Cranbury,NJ,USA,40.3063,-74.5263
Z08518,"3rd Party-Florence-NJ",Florence,NJ,USA,40.1179,-74.8047
Z08525,"3rd Party-Hopewell-NJ",Hopewell,NJ,USA,40.3869,-74.7811
Z08530,"3rd Party-Lambertville-NJ",Lambertville,NJ,USA,40.375,-74.9318
Z08534,"3rd Party-Pennington-NJ",Pennington,NJ,USA,40.3232,-74.7836
Z08559,"3rd Party-Stockton-NJ",Stockton,NJ,USA,40.4359,-74.9651
Z08628,"3rd Party-Trenton-NJ",Trenton,NJ,USA,40.2647,-74.823
Z08638,"3rd Party-Trenton-NJ",Trenton,NJ,USA,40.2499,-74.7595
Z08691,"3rd Party-Trenton-NJ",Trenton,NJ,USA,40.207,-74.5936
Z08723,"3rd Party-Brick-NJ",Brick,NJ,USA,40.0425,-74.123
Z08731,"3rd Party-Forked River-NJ","Forked River",NJ,USA,39.848,-74.213
Z08750,"3rd Party-Sea Girt-NJ","Sea Girt",NJ,USA,40.1338,-74.0412
Z08753,"3rd Party-Toms River-NJ","Toms River",NJ,USA,39.9746,-74.1514
Z08807,"3rd Party-Bridgewater-NJ",Bridgewater,NJ,USA,40.5881,-74.6225
Z08810,"3rd Party-Dayton-NJ",Dayton,NJ,USA,40.3729,-74.5136
Z08817,"3rd Party-Edison-NJ",Edison,NJ,USA,40.5161,-74.3975
Z08822,"3rd Party-Flemington-NJ",Flemington,NJ,USA,40.5156,-74.8532
Z08831,"3rd Party-Jamesburg-NJ",Jamesburg,NJ,USA,40.3365,-74.433
Z08832,"3rd Party-Keasbey-NJ",Keasbey,NJ,USA,40.5179,-74.3033
Z08835,"3rd Party-Manville-NJ",Manville,NJ,USA,40.5389,-74.5922
Z08837,"3rd Party-Edison-NJ",Edison,NJ,USA,40.5294,-74.3384
Z08846,"3rd Party-Middlesex-NJ",Middlesex,NJ,USA,40.5746,-74.5019
Z08854,"3rd Party-Piscataway-NJ",Piscataway,NJ,USA,40.5554,-74.4609
Z08861,"3rd Party-Perth Amboy-NJ","Perth Amboy",NJ,USA,40.5201,-74.2771
Z08863,"3rd Party-Fords-NJ",Fords,NJ,USA,40.5353,-74.311
Z08876,"3rd Party-Somerville-NJ",Somerville,NJ,USA,40.5459,-74.6359
Z08887,"3rd Party-Three Bridges-NJ","Three Bridges",NJ,USA,40.5254,-74.7963
Z10001,"3rd Party-New York-NY","New York",NY,USA,40.7507,-73.9965
Z10002,"3rd Party-New York-NY","New York",NY,USA,40.717,-73.987
Z10003,"3rd Party-New York-NY","New York",NY,USA,40.7325,-73.9893
Z10005,"3rd Party-New York-NY","New York",NY,USA,40.706,-74.0086
Z10009,"3rd Party-New York-NY","New York",NY,USA,40.7271,-73.9786
Z10012,"3rd Party-New York-NY","New York",NY,USA,40.726,-73.9983
Z10019,"3rd Party-New York-NY","New York",NY,USA,40.7657,-73.9856
Z10022,"3rd Party-New York-NY","New York",NY,USA,40.759,-73.9673
Z10032,"3rd Party-New York-NY","New York",NY,USA,40.8407,-73.9415
Z10036,"3rd Party-New York-NY","New York",NY,USA,40.7595,-73.9902
Z10121,"3rd Party-New York-NY","New York",NY,USA,40.7496,-73.9919
Z10457,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8467,-73.8986
Z10458,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8642,-73.8888
Z10466,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8909,-73.847
Z10473,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8185,-73.8589
Z10474,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8132,-73.8876
Z10475,"3rd Party-Bronx-NY",Bronx,NY,USA,40.8785,-73.8254
Z10504,"3rd Party-Armonk-NY",Armonk,NY,USA,41.1299,-73.7035
Z10509,"3rd Party-Brewster-NY",Brewster,NY,USA,41.4136,-73.5956
Z10522,"3rd Party-Dobbs Ferry-NY","Dobbs Ferry",NY,USA,41.0127,-73.866
Z10523,"3rd Party-Elmsford-NY",Elmsford,NY,USA,41.0571,-73.8166
Z10548,"3rd Party-Montrose-NY",Montrose,NY,USA,41.2484,-73.9415
Z10550,"3rd Party-Mount Vernon-NY","Mount Vernon",NY,USA,40.9076,-73.8371
Z10573,"3rd Party-Port Chester-NY","Port Chester",NY,USA,41.0104,-73.6733
Z10595,"3rd Party-Valhalla-NY",Valhalla,NY,USA,41.0838,-73.7778
Z10703,"3rd Party-Yonkers-NY",Yonkers,NY,USA,40.9565,-73.8799
Z10710,"3rd Party-Yonkers-NY",Yonkers,NY,USA,40.9655,-73.8451
Z10901,"3rd Party-Suffern-NY",Suffern,NY,USA,41.1257,-74.1268
Z10913,"3rd Party-Blauvelt-NY",Blauvelt,NY,USA,41.0628,-73.9602
Z10918,"3rd Party-Chester-NY",Chester,NY,USA,41.3565,-74.2607
Z10920,"3rd Party-Congers-NY",Congers,NY,USA,41.1492,-73.9429
Z10924,"3rd Party-Goshen-NY",Goshen,NY,USA,41.3893,-74.3337
Z10926,"3rd Party-Harriman-NY",Harriman,NY,USA,41.2993,-74.1405
Z10958,"3rd Party-New Hampton-NY","New Hampton",NY,USA,41.3847,-74.4157
Z10976,"3rd Party-Sparkill-NY",Sparkill,NY,USA,41.0286,-73.9282
Z11010,"3rd Party-Franklin Square-NY","Franklin Square",NY,USA,40.7017,-73.6756
Z11021,"3rd Party-Great Neck-NY","Great Neck",NY,USA,40.7871,-73.7258
Z11030,"3rd Party-Manhasset-NY",Manhasset,NY,USA,40.7968,-73.6893
Z11040,"3rd Party-New Hyde Park-NY","New Hyde Park",NY,USA,40.7429,-73.6789
Z11101,"3rd Party-Long Island City-NY","Long Island City",NY,USA,40.7453,-73.9391
Z11106,"3rd Party-Astoria-NY",Astoria,NY,USA,40.762,-73.9315
Z11203,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6491,-73.933
Z11205,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6942,-73.9653
Z11206,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.7023,-73.9429
