origin,destination,count
34.0018-117.528,37.7284-121.424,189.43599013061524
39.0766-94.7902,39.7882-104.83,189.3725995513916
41.8857-88.3196,42.0472-87.8906,189.32245675659178
34.0018-117.528,37.922-121.302,188.78861602096558
33.455-84.1721,34.2366-83.8912,187.61638930664063
41.8857-88.3196,41.2982-88.1464,185.6850597717285
39.9266-83.8128,42.7355-84.627,185.49147631683348
41.6887-112.223,42.5322-83.5338,182.462125
41.8857-88.3196,44.9216-93.4086,182.26829060668945
33.455-84.1721,29.0803-81.046,181.98655056762695
41.6376-93.6164,42.3528-83.0245,181.95609476013183
34.0018-117.528,37.8169-121.285,181.63563840942382
41.8857-88.3196,40.3695-80.7025,181.55666560668945
33.455-84.1721,33.4056-86.9514,179.88494671020507
40.974-91.572,40.1501-79.5249,179.710194921875
41.6887-112.223,32.6855-96.9175,179.07785815429688
33.455-84.1721,32.7306-83.6793,179.00137161865234
34.0018-117.528,37.6578-121.73,178.5151697058439
41.6887-112.223,36.2064-115.123,178.29175605468748
42.0193-95.3538,27.6488-99.5337,177.9979736328125
39.9266-83.8128,39.533-83.439,177.96443126296995
34.0433-86.089,33.8574-83.719,177.46260488586424
39.0766-94.7902,42.7973-96.1717,177.28278134765625
40.4218-104.692,40.9228-98.3309,176.864531640625
39.0766-94.7902,47.2662-122.245,174.98482603759766
34.0018-117.528,33.9235-117.896,174.60969368286132
41.8857-88.3196,45.0467-93.4289,173.36866658382414
32.7984-97.354,32.7477-96.2892,172.05274505920409
39.0766-94.7902,29.7608-95.2604,171.596565234375
39.0766-94.7902,41.9882-83.2982,171.49925966796874
40.5693-75.5889,42.8369-78.7556,170.2332914297104
41.8857-88.3196,41.2513-75.4912,169.70073499755858
39.9266-83.8128,40.2035-77.1999,169.58630135498046
39.0766-94.7902,43.1082-88.4893,169.17337709808348
34.0433-86.089,29.9594-95.4969,168.6717
32.7984-97.354,32.6303-97.271,167.55794702072143
41.6887-112.223,45.8252-108.393,166.9190406738281
41.8857-88.3196,42.8029-85.7254,166.32235282592774
39.0766-94.7902,41.5116-88.057,165.2724203125
39.0766-94.7902,33.979-117.336,165.22303246383666
39.0766-94.7902,41.2703-112.019,165.01033481993673
41.8857-88.3196,42.0664-94.8679,163.98419585571287
40.5693-75.5889,39.1302-76.6914,163.43910071029663
40.5693-75.5889,40.2344-76.1265,162.68533064117432
33.455-84.1721,37.1267-77.2328,162.3267642700195
39.9266-83.8128,40.3695-80.7025,161.85649396972656
39.9266-83.8128,28.0429-81.9849,161.32947724261282
39.0766-94.7902,43.6315-70.2727,160.88315
41.8857-88.3196,38.7246-88.0866,159.57228903503417
39.0766-94.7902,45.4168-122.529,159.18658160095214
32.7984-97.354,32.8053-97.2226,158.52447852783203
40.4218-104.692,27.6488-99.5337,158.32888222656248
33.455-84.1721,30.336-81.7251,157.5734213317871
34.0018-117.528,33.8906-118.237,157.41161381225584
40.974-91.572,35.0168-89.847,157.0977275878906
40.974-91.572,35.3292-80.8049,157.08293554687498
35.8406-80.8799,40.1501-79.5249,157.06580986328123
40.5693-75.5889,38.9201-76.889,155.45243766474724
34.0018-117.528,34.0773-117.622,155.421162109375
35.8406-80.8799,41.3884-81.4436,155.1757447265625
40.974-91.572,32.3255-90.2571,154.99152924804687
39.0766-94.7902,37.2126-93.3182,154.8948006347656
39.9266-83.8128,39.9542-84.1768,154.8878410697937
34.0018-117.528,34.1095-117.376,153.74496058273314
41.8857-88.3196,40.1096-88.2125,153.69906517677308
32.8036-96.5696,30.1708-95.1783,153.32800055541992
46.7284-122.951,45.8252-108.393,153.2938170349121
34.0018-117.528,39.5442-119.7,152.95314003219605
35.8406-80.8799,43.6821-70.3582,152.86200966796875
33.455-84.1721,34.4891-88.9997,152.25097780456542
38.1417-85.8637,34.7693-80.3994,151.21948244628905
41.8857-88.3196,40.7595-84.0846,150.01059022827147
34.0018-117.528,41.5357-112.304,149.77984983825684
32.8036-96.5696,32.7599-97.0122,149.70889790153504
41.8857-88.3196,41.4127-81.5607,149.39003064804075
33.455-84.1721,28.4635-81.3881,148.8448625
32.7984-97.354,32.927-97.2506,148.76194511718748
41.8857-88.3196,41.8143-87.6528,148.73854388973712
32.8036-96.5696,41.5357-112.304,148.59307077636717
33.455-84.1721,42.1336-72.7503,148.52943994140625
40.5693-75.5889,37.6056-77.3154,147.21002940979002
32.8036-96.5696,41.8999-87.8598,147.01094548339842
