iata,name,state,country,latitude,longitude,lineage,zipcoderegion
34.073-118.146,Destination-Alhambra-CA,CA,USA,34.073,-118.146,0,91
34.0766-118.039,Destination-El Monte-CA,CA,USA,34.0766,-118.039,0,91
34.0771-118.308,Destination-Los Angeles-CA,CA,USA,34.0771,-118.308,0,90
34.0773-117.622,Destination-Ontario-CA,CA,USA,34.0773,-117.622,0,91
34.0785-118.266,Destination-Los Angeles-CA,CA,USA,34.0785,-118.266,0,90
34.08-84.2193,Destination-Alpharetta-GA,GA,USA,34.08,-84.2193,0,30
34.0801-117.739,Destination-Pomona-CA,CA,USA,34.0801,-117.739,0,91
34.0807-117.274,Destination-San Bernardino-CA,CA,USA,34.0807,-117.274,0,92
34.0826-89.8982,Destination-Oakland-MS,MS,USA,34.0826,-89.8982,0,38
34.0841-80.9329,Destination-Columbia-SC,SC,USA,34.0841,-80.9329,0,29
34.0871-117.97,Destination-Baldwin Park-CA,CA,USA,34.0871,-117.97,0,91
34.0889-117.452,Destination-Fontana-CA,CA,USA,34.0889,-117.452,0,92
34.0891-118.095,Destination-San Gabriel-CA,CA,USA,34.0891,-118.095,0,91
34.0894-83.947,Destination-Buford-GA,GA,USA,34.0894,-83.947,0,30
34.0895-118.328,Destination-Los Angeles-CA,CA,USA,34.0895,-118.328,0,90
34.0904-118.127,Destination-Alhambra-CA,CA,USA,34.0904,-118.127,0,91
34.091-118.381,Destination-West Hollywood-CA,CA,USA,34.091,-118.381,0,90
34.0977-117.907,Destination-Covina-CA,CA,USA,34.0977,-117.907,0,91
34.0989-118.362,Destination-Los Angeles-CA,CA,USA,34.0989,-118.362,0,90
34.1016-118.056,Destination-Temple City-CA,CA,USA,34.1016,-118.056,0,91
34.1033-117.818,Destination-San Dimas-CA,CA,USA,34.1033,-117.818,0,91
34.1046-117.587,Destination-Rancho Cucamonga-CA,CA,USA,34.1046,-117.587,0,91
34.1051-117.291,Destination-San Bernardino-CA,CA,USA,34.1051,-117.291,0,92
34.107-117.298,Destination-San Bernardino-CA,CA,USA,34.107,-117.298,0,92
