iata,name,state,country,latitude,longitude,lineage
Z20705,Origin-Beltsville-MD,MD,USA,39.0446,-76.9132,0
Z20707,Origin-Laurel-MD,MD,USA,39.0986,-76.8657,0
Z20743,Origin-Capitol Heights-MD,MD,USA,38.8868,-76.9064,0
Z20746,Origin-Suitland-MD,MD,USA,38.8397,-76.9148,0
Z20763,Origin-Savage-MD,MD,USA,39.1374,-76.8233,0
Z20781,Origin-Hyattsville-MD,MD,USA,38.9468,-76.9355,0
Z20785,Origin-Hyattsville-MD,MD,USA,38.9201,-76.8889,0
Z20794,Origin-Jessup-MD,MD,USA,39.1449,-76.7876,0
Z20879,Origin-Gaithersburg-MD,MD,USA,39.1687,-77.1871,0
Z20910,Origin-Silver Spring-MD,MD,USA,39,-77.034,0
Z21001,Origin-Aberdeen-MD,MD,USA,39.5082,-76.1806,0
Z21017,Origin-Belcamp-MD,MD,USA,39.4761,-76.2435,0
Z21031,Origin-Hunt Valley-MD,MD,USA,39.488,-76.6593,0
Z21044,Origin-Columbia-MD,MD,USA,39.2154,-76.8782,0
Z21074,Origin-Hampstead-MD,MD,USA,39.6134,-76.848,0
Z21076,Origin-Hanover-MD,MD,USA,39.1678,-76.717,0
Z21117,Origin-Owings Mills-MD,MD,USA,39.4192,-76.7838,0
Z21133,Origin-Randallstown-MD,MD,USA,39.3765,-76.7991,0
Z21144,Destination-Severn-MD,MD,USA,39.1302,-76.6914,1
Z21220,Origin-Middle River-MD,MD,USA,39.3378,-76.4153,0
Z21222,Origin-Dundalk-MD,MD,USA,39.2632,-76.5081,0
Z21223,Origin-Baltimore-MD,MD,USA,39.2866,-76.6464,0
Z21224,Origin-Baltimore-MD,MD,USA,39.2846,-76.5569,0
Z21225,Origin-Brooklyn-MD,MD,USA,39.2295,-76.612,0
Z21227,Origin-Halethorpe-MD,MD,USA,39.242,-76.677,0
Z21230,Origin-Baltimore-MD,MD,USA,39.2731,-76.6261,0
Z21237,Origin-Rosedale-MD,MD,USA,39.3323,-76.5036,0
Z21240,Origin-Baltimore-MD,MD,USA,39.1429,-76.6515,0
Z21244,Origin-Windsor Mill-MD,MD,USA,39.3382,-76.7644,0
Z21275,Origin-Baltimore-MD,MD,USA,39.2847,-76.6204,0
Z21403,Origin-Annapolis-MD,MD,USA,38.9466,-76.4835,0
Z21632,Origin-Federalsburg-MD,MD,USA,38.7058,-75.7748,0
Z21673,Origin-Trappe-MD,MD,USA,38.6625,-76.07,0
Z21750,Origin-Hancock-MD,MD,USA,39.6927,-78.2168,0
Z21776,Origin-New Windsor-MD,MD,USA,39.5299,-77.0971,0
Z21783,Origin-Smithsburg-MD,MD,USA,39.6558,-77.5672,0
